Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
5,141,NYJ,Oday Aboushi,T,22,2020,0,0,2,11,3,61,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia,College Stats
5,142,TEN,Lavar Edwards,DE,23,2017,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,0,0,14,,2,LSU,College Stats
5,143,BUF,Jonathan Meeks,DB,23,2016,0,0,0,2,2,38,0,0,0,0,0,0,0,0,0,0,0,22,,,Clemson,College Stats
5,144,NOR,Kenny Stills,WR,21,2020,0,0,5,33,13,117,1,1,3,1,0,4,8,0,310,4843,37,,,,Oklahoma,College Stats
5,145,SDG,Steve Williams,DB,22,2016,0,0,0,4,4,32,0,0,0,0,0,0,0,0,0,0,0,45,2,1,California,College Stats
5,146,DEN,Quanterus Smith,DE,23,2014,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,7,,,Western Kentucky,
5,147,TAM,Steven Means,DE,22,2020,0,0,0,5,1,46,0,0,0,0,0,0,0,0,0,0,0,34,,6,Buffalo,College Stats
5,148,CAR,A.J. Klein,LB,22,2020,0,0,4,28,10,115,0,0,0,0,0,0,0,0,0,0,0,271,3,15.5,Iowa St.,College Stats
5,149,STL,Brandon McGee,DB,22,2015,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,14,,,Miami (FL),College Stats
5,150,PIT,Terry Hawthorne,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Illinois,College Stats
5,151,DAL,Joseph Randle,RB,21,2015,0,0,0,7,7,35,0,0,0,0,0,181,822,9,22,170,0,9,,,Oklahoma St.,College Stats
5,152,NYG,Cooper Taylor,DB,23,2015,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,9,,,Richmond,
5,153,ATL,Stansly Maponga,DE,22,2015,0,0,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,4,,1,TCU,College Stats
5,154,WAS,Chris Thompson,RB,22,2020,0,0,0,19,19,74,0,0,0,0,0,257,1214,5,232,1918,11,,,,Florida St.,College Stats
